pkd07;pkd25;Nazwa grupowania PKD 2007;Nazwa grupowania PKD 2025;Opis zakresu klasy/podklasy
5520;5520;Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania;Obiekty noclegowe turystyczne i miejsca krótkotrwałego zakwaterowania;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5530;5530;Pola kempingowe (włączając pola dla pojazdów kempingowych) i pola namiotowe;Pola kempingowe i pola namiotowe;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5590;5590;Pozostałe zakwaterowanie;Pozostałe zakwaterowanie;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5610;5611;Restauracje i pozostałe placówki gastronomiczne;Restauracje;"przygotowywanie i podawanie posiłków gościom, na przykład w restauracjach, restauracjach samoobsługowych i oferujących posiłki na wynos, z miejscami siedzącymi lub bez, w stałych lub tymczasowych lokalach; restauracje;  kawiarnie;  restauracje typu fast-food; prowadzenie restauracji na środkach transportu i w środkach transportu, jeśli są obsługiwane przez oddzielne jednostki niebędące częścią przewoźnika; prowadzenie restauracji w hotelu, jeżeli są prowadzone przez odrębne jednostki niebędące częścią hotelu; prowadzenie restauracji na wynos w supermarkecie, jeżeli są prowadzone przez oddzielne jednostki niebędące częścią supermarketu; lokale gastronomiczne na wynos"
5610;5612;Restauracje i pozostałe placówki gastronomiczne;Ruchome placówki gastronomiczne;"przygotowywanie i podawanie głównie żywności do bezpośredniej konsumpcji z ruchomych wózków lub przenośnych stoisk; pojazdów gastronomicznych, typu food trucks; sprzedawców żywności; sprzedawców lodów; związana z przygotowywaniem żywności na straganach; sprzedaż przekąsek, mrożonego jogurtu, naleśników"
5621;5621;Przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering);Okazjonalne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering okazjonalny);podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5629;5622;Pozostała usługowa działalność gastronomiczna;Regularne przygotowywanie i dostarczanie żywności dla odbiorców zewnętrznych (katering regularny) i pozostała gastronomiczna działalność usługowa;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5630;5630;Przygotowywanie i podawanie napojów;Podawanie napojów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5811;5811;Wydawanie książek;Wydawanie książek;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5812;5819;Wydawanie wykazów oraz list (np. adresowych, telefonicznych);Pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5813;5812;Wydawanie gazet;Wydawanie gazet;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5814;5813;Wydawanie czasopism i pozostałych periodyków;Wydawanie czasopism i pozostałych periodyków;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5819;5819;Pozostała działalność wydawnicza;Pozostała działalność wydawnicza, z wyłączeniem w zakresie oprogramowania;"wydawanie w dowolnym formacie, w tym drukowanym, cyfrowym lub w Internecie, na przykład: katalogów, fotografii, rycin i pocztówek,  kartek z życzeniami; formularzy; plakatów; reprodukcji dzieł sztuki; nieoprawionych ulotek i materiałów reklamowych; statystyki i inne informacje; zbiory danych/bazy danych bez powiązanych usług przetwarzania danych"
5819;6039;Pozostała działalność wydawnicza;Pozostała działalność związana z dystrybucją treści;publikowanie na blogach
5821;5821;Działalność wydawnicza w zakresie gier komputerowych;Działalność wydawnicza w zakresie gier komputerowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5829;5829;Działalność wydawnicza w zakresie pozostałego oprogramowania;Działalność wydawnicza w zakresie pozostałego oprogramowania;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5911;5911;Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych;Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych;"produkcja filmów, nagrań wideo, programów telewizyjnych (seriali, filmów dokumentalnych i tym podobne) lub reklam telewizyjnych; produkcja vlogów;  produkcja podcastów wideo"
5911;6020;Działalność związana z produkcją filmów, nagrań wideo i programów telewizyjnych;Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo;działalność usługowa związana z przesyłaniem strumieniowym i pobieraniem wideo, niezwiązana z ich publikacją
5912;5912;Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi;Działalność postprodukcyjna związana z filmami, nagraniami wideo i programami telewizyjnymi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5913;5913;Działalność związana z dystrybucją filmów, nagrań wideo i programów telewizyjnych;Działalność związana z dystrybucją filmów i nagrań wideo;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5914;5914;Działalność związana z projekcją filmów;Działalność związana z projekcją filmów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
5920;5920;Działalność w zakresie nagrań dźwiękowych i muzycznych;Działalność w zakresie nagrań dźwiękowych i muzycznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6010;6010;Nadawanie programów radiofonicznych;Nadawanie programów radiofonicznych i dystrybucja nagrań dźwiękowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6020;6020;Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych;Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6110;6110;Działalność w zakresie telekomunikacji przewodowej;Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6120;6110;Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej;Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej;"obsługa, utrzymanie lub udostępnianie urządzeń służących do transmisji głosu, danych, tekstu, dźwięku i obrazu z wykorzystaniem przewodowej, bezprzewodowej lub satelitarnej infrastruktury telekomunikacyjnej; utrzymywanie i obsługa sieci przywoławczych"
6120;6190;Działalność w zakresie telekomunikacji bezprzewodowej, z wyłączeniem telekomunikacji satelitarnej;Działalność w zakresie pozostałej telekomunikacji;przesyłanie przez Internet wiadomości tekstowych (SMS)
6130;6110;Działalność w zakresie telekomunikacji satelitarnej;Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6190;6110;Działalność w zakresie pozostałej telekomunikacji;Działalność w zakresie telekomunikacji przewodowej, bezprzewodowej i satelitarnej;udostępnianie protokołu Voice over Internet Protocol (VOIP) przez operatora infrastruktury
6190;6120;Działalność w zakresie pozostałej telekomunikacji;Działalność w zakresie odsprzedaży usług telekomunikacyjnych oraz pośrednictwo w telekomunikacji;odsprzedaż telekomunikacji przewodowej, bezprzewodowej i satelitarnej (to jest zakupu i odsprzedaży pojemności sieci), w tym działalność brokerów telekomunikacyjnych oraz sprzedawców usług i kart telefonicznych przedpłaconych
6190;6190;Działalność w zakresie pozostałej telekomunikacji;Działalność w zakresie pozostałej telekomunikacji;"świadczenie wyspecjalizowanych usług telekomunikacyjnych, takich jak: śledzenie za pomocą satelitów, telemetrii komunikacyjnej i obsługi stacji radarowych; obsługa końcowych stacji satelitarnych i związanych z nimi systemów operacyjnych połączonych z jednym lub większą liczbą naziemnych systemów łączności i zdolnych do transmitowania lub odbierania telekomunikacji z systemów satelitarnych; świadczenie dostępu do Internetu za pośrednictwem sieci pomiędzy Klientem a Dostawcą Usług Internetowych niebędących własnością i kontrolowanych przez Dostawcę Usług Internetowych, np.: modemowy dostęp do Internetu; zapewnienie dostępu do telefonu i Internetu w obiektach ogólnodostępnych"
6201;6210;Działalność związana z oprogramowaniem;Działalność w zakresie programowania;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6202;6220;Działalność związana z doradztwem w zakresie informatyki;Działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6203;6220;Działalność związana z zarządzaniem urządzeniami informatycznymi;Działalność związana z doradztwem w zakresie informatyki oraz zarządzaniem urządzeniami informatycznymi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6209;6290;Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych;Pozostała działalność usługowa w zakresie technologii informatycznych i komputerowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6311;6020;"Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność";Nadawanie programów telewizyjnych ogólnodostępnych i abonamentowych oraz dystrybucja nagrań wideo;witryny do strumieniowego przesyłania gier komputerowych
6311;6039;"Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność";Pozostała działalność związana z dystrybucją treści;"prowadzenie witryn z grami online/grami komputerowymi, niezwiązane z ich wydawaniem; udostępnianie e-booków w formie usługi przesyłania strumieniowego lub pobierania niezwiązanej z ich wydawaniem; udostępnianie oprogramowania online, niezwiązane z jego publikacją"
6311;6310;"Przetwarzanie danych; zarządzanie stronami internetowymi (hosting) i podobna działalność";Działalność usługowa w zakresie infrastruktury obliczeniowej, przetwarzania danych, zarządzania stronami internetowymi (hosting) i działalności powiązane;"zapewnianie infrastruktury obliczeniowej, w tym infrastruktury chmurowej oraz udostępnienie platformy (IaaS, PaaS); przetwarzanie w chmurze (z wyłączeniem publikowania oprogramowania i projektowania systemów komputerowych), nawet z zapewnieniem infrastruktury; zapewnienie infrastruktury technicznej związanej z usługami streamingu, usługami przetwarzania danych i działalnością z nimi związaną: pełne przetwarzanie danych dostarczonych przez klientów, generowanie specjalistycznych raportów na podstawie danych dostarczonych przez klientów, Działania związane z przetwarzaniem danych w technologii blockchain/Distributed Ledger (DLT); wyspecjalizowana działalność hostingowa, np.: hosting, hosting aplikacji; ogólne udostępnianie klientom infrastruktury mainframe w ramach podziału czasu; świadczenie usług wprowadzania danych; działalność kolokacyjną w centrach danych (tj. wynajem przestrzeni serwerowej i sieciowej w centrach danych, w tym rutynowy monitoring serwerów); cyfrowe przechowywanie danych; emisja aktywów kryptograficznych bez odpowiedniego zobowiązania (nie przez władze monetarne)"
6312;6039;Działalność portali internetowych;Pozostała działalność związana z dystrybucją treści;dystrybucji serwisów udostępniających treści, na przykład strony wiki i serwisy społecznościowe publikujące treści tworzone i redagowane przez użytkowników, które nie podlegają odpowiedzialności redakcyjnej ani kontroli,
6312;6391;Działalność portali internetowych;Działalność portali i wyszukiwarek internetowych;"działalność serwisów internetowych wykorzystujących wyszukiwarkę do generowania i utrzymywania rozbudowanych baz danych, adresów internetowych i treści w łatwym do przeszukiwania formacie; te portale wyszukiwania nie są odpowiedzialne za treść; działalność porównywarek cen, specyfikacji produktów itp. wraz z udostępnianiem linków do innych stron internetowych"
6391;6031;Działalność agencji informacyjnych;Działalność agencji informacyjnych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6399;6392;Pozostała działalność usługowa w zakresie informacji, gdzie indziej niesklasyfikowana;Pozostała działalność usługowa w zakresie informacji;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6411;6411;Działalność banku centralnego;Działalność banku centralnego;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6419;6419;Pozostałe pośrednictwo pieniężne;Pozostałe pośrednictwo pieniężne;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6420;6421;Działalność holdingów finansowych;Działalność spółek holdingowych;działalność spółek holdingowych, które poprzez posiadanie odpowiednich udziałów (akcji— posiadają kontrolę nad kapitałem własnym) w innych spółkach (spółkach zależnych) zapewniają sobie nad nimi kontrolę, posiadanie spółek zależnych jest ich jedynym celem
6420;6422;Działalność holdingów finansowych;Działalność spółek pozyskujących finansowanie na rzecz innych podmiotów;"działalność podmiotów tworzonych przez grupę finansową lub niefinansową w celu gromadzenia lub pożyczania środków (często na wolnym rynku) i przekazywania tych środków jednostce macierzystej lub innemu podmiotowi w ramach grupy; działalność wewnętrznych instytucji finansowych zajmujących się pożyczkami wewnątrzgrupowymi; spółki mosiężne zajmujące się pozyskiwaniem środków i przekazaniem tych środków spółce dominującej, czyli jednostkom będącym własnością (bezpośrednio lub pośrednio) jednostki niebędącej rezydentem, których dużą część bilansu stanowią roszczenia i zobowiązania wobec nierezydenta jednostki, które mają niewielu pracowników lub nie mają ich wcale i są nieobecne fizycznie w jurysdykcji miejsca rejestracji "
6430;6431;Działalność trustów, funduszów i podobnych instytucji finansowych;Działalność funduszy rynku pieniężnego i funduszy inwestycyjnych niebędących funduszami rynku pieniężnego;"działalność funduszy inwestycyjnych rynku pieniężnego i funduszy inwestycyjnych niebędących funduszami rynku pieniężnego, to jest programów zbiorowego inwestowania, które gromadzą fundusze poprzez publiczną emisję akcji lub jednostek uczestnictwa, z których wpływy inwestowane są przede wszystkim w aktywa finansowe (w tym aktywa krótkoterminowe); fundusze inwestycyjne otwarte; fundusze inwestycyjne zamknięte; trust jednostkowy i inwestycyjny"
6430;6432;Działalność trustów, funduszów i podobnych instytucji finansowych;Działalność trustów i rachunków powierniczych;"działalność osób prawnych, niedziałających w ramach programów zbiorowego inwestowania, lokujących w papiery wartościowe, nieruchomości i inne aktywa finansowe w imieniu akcjonariuszy lub beneficjentów, z wyłączeniem zarządzania. Portfele papierów wartościowych są dostosowywane w celu osiągnięcia określonych cech inwestycyjnych, m.in. dywersyfikacja, ryzyko, stopa zwrotu i zmienność cen. Podmioty te uzyskują odsetki, dywidendy i inne dochody z tytułu własności, ale mają niewielkie lub żadne zatrudnienie i nie mają przychodów ze sprzedaży usług; fundusze powiernicze, majątki lub rachunki agencyjne, zarządzane w imieniu wielu beneficjentów na warunkach umowy powierniczej, testamentu lub umowy agencyjnej; działalność spółek kapitałowych, nie posiadających kontrolnych poziomów kapitałów własnych; spółki typu venture, w których jedynym finansowaniem są akcje i nie pobiera się żadnych opłat"
6491;6491;Leasing finansowy;Leasing finansowy;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6492;6492;Pozostałe formy udzielania kredytów;Pozostałe formy udzielania kredytów;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6499;6422;Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych;Działalność spółek pozyskujących finansowanie na rzecz innych podmiotów;fundusze finansowe emitują obligacje i tym podobne w celu zapewnienia kapitału grupom przedsiębiorstw
6499;6492;Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych;Pozostałe formy udzielania kredytów;"działalność faktoringowa;  wystawianie swapów, opcji oraz zawieranie transakcji zabezpieczających; "
6499;6499;Pozostała finansowa działalność usługowa, gdzie indziej niesklasyfikowana, z wyłączeniem ubezpieczeń i funduszów emerytalnych;Pozostała finansowa działalność usługowa, z wyłączeniem ubezpieczeń i funduszy emerytalnych, gdzie indziej nie sklasyfikowana;"pozostała finansowa działalność usługowa związana głównie z dystrybucją środków finansowych, w inny sposób niż udzielanie pożyczek: działalność przedsiębiorstw, zajmujących się rozliczeniami viatycznymi; prowadzenie działalności inwestycyjno-handlowej na własny rachunek m.in. spółki venture capital lub kluby inwestycyjne, zawieranie swapów, opcji i innych porozumień zabezpieczających; prowadzenie działalności na rynkach finansowych na własny rachunek; obrót wierzytelnościami na własny rachunek; dealerzy papierów wartościowych i instrumentów pochodnych (działający na własny rachunek); działalność spółek będących instrumentami finansowymi inna niż sekurytyzacja; transakcje sekurytyzacji aktywów innych niż pożyczki w drodze emisji instrumentów finansowych; handel swapami lub opcjami na własny rachunek; obrót kontraktami towarowymi na własny rachunek; emisja aktywów kryptograficznych z odpowiednim zobowiązaniem (nie przez władze monetarne); handel aktywami kryptograficznymi z odpowiednim zobowiązaniem na własny rachunek; wymiana walut na własny rachunek; pełnienie roli kontrahenta w zakresie rozliczeń i rozrachunków transakcji"
6511;6511;Ubezpieczenia na życie;Ubezpieczenia na życie;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6512;6512;Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe;Pozostałe ubezpieczenia osobowe oraz ubezpieczenia majątkowe;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6520;6520;Reasekuracja;Reasekuracja;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6530;6530;Fundusze emerytalne;Fundusze emerytalne;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6611;6611;Zarządzanie rynkami finansowymi;Zarządzanie rynkami finansowymi;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6612;6612;Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych;Działalność maklerska związana z rynkiem papierów wartościowych i towarów giełdowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6619;6619;Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych;Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszy emerytalnych;"działalność związana z przetwarzaniem i rozliczaniem transakcji finansowych, w tym płatności elektronicznych (lub internetowych), w tym obsługę transakcji dokonywanych za pomocą kart płatniczych; doradztwo dotyczące inwestycji, z uwzględnieniem zrobotyzowanego doradzwta; działalność doradców hipotecznych i pożyczkowych; działalność dostawców cyfrowych portfeli walutowych; działalność doradców finansowych w zakresie usług fuzji i przejęć; walidacja i wydobywanie aktywów kryptograficznych uznawanych za aktywa finansowe; przechowywanie papierów wartościowych; tokenizacja aktywów cyfrowych, w tym oferty tokenów zabezpieczających, oferty początkowych monet; działalność urzędów zwrotu podatku; pośrednictwo w kredycie konsumenckim; działalność dostawców usług płatniczych, m.in. usługi elektronicznego transferu środków, w tym usługi płatności typu peer-to-peer; analiza rynków finansowych jako usługa doradcza"
6619;6630;Pozostała działalność wspomagająca usługi finansowe, z wyłączeniem ubezpieczeń i funduszów emerytalnych;Działalność związana z zarządzaniem funduszami;działalność powiernictwa i nadzoru, wykonywane na podstawie opłat lub umów
6621;6621;Działalność związana z oceną ryzyka i szacowaniem poniesionych strat;Działalność związana z oceną ryzyka i szacowaniem poniesionych strat;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6622;6622;Działalność agentów i brokerów ubezpieczeniowych;Działalność agentów i brokerów ubezpieczeniowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6629;6629;Pozostała działalność wspomagająca ubezpieczenia i fundusze emerytalne;Działalność wspomagająca ubezpieczenia i fundusze emerytalne, gdzie indziej niesklasyfikowana;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6630;6630;Działalność związana z zarządzaniem funduszami;Działalność związana z zarządzaniem funduszami;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6810;6811;Kupno i sprzedaż nieruchomości na własny rachunek;Kupno i sprzedaż nieruchomości na własny rachunek;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6820;5590;Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi;Pozostałe zakwaterowanie;zapewnienie zakwaterowania w domach, mieszkaniach i apartamentach umeblowanych lub nieumeblowanych na okres krótszy niż rok
6820;6820;Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi;Wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi;"wynajem i zarządzanie nieruchomościami własnymi lub dzierżawionymi: budynków i lokali mieszkalnych, budynków niemieszkalnych, w tym budynki biurowe, przemysłowe, magazyny, hotele i inne obiekty wypoczynkowe, obiekty wystawowe, magazyny samoobsługowe, sklepy i centra handlowe, centra danych; grunty, w tym grunty rolne i leśne; udostępnianie domów i umeblowanych lub nieumeblowanych mieszkań lub apartamentów do stałego użytkowania, w okresach rocznych lub na dłużej; obsługa obiektów mobilnych dla głównych domów mieszkalnych; opracowywanie projektów budowlanych na potrzeby własne, tj. na wynajem powierzchni w tych budynkach; wynajem dachów m.in. do instalacji fotowoltaicznych; wynajem zakładów i fabryk, w tym maszyn i urządzeń; zapewnienie miejsca wyłącznie do przyjmowania zwierząt"
6831;6831;Pośrednictwo w obrocie nieruchomościami;Pośrednictwo w obrocie nieruchomościami; pośrednictwa w kupnie, sprzedaży i wynajmie nieruchomości za opłatą lub na podstawie umowy
6831;6832;Pośrednictwo w obrocie nieruchomościami;Pozostała działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie;"działalność związaną z wyceną nieruchomości; działalność agentów depozytowych w zakresie nieruchomości; działalność doradczą wykonywaną na zlecenie, związaną z kupnem, sprzedażą i wynajmem nieruchomości"
6832;6832;Zarządzanie nieruchomościami wykonywane na zlecenie;Pozostała działalność związana z obsługą rynku nieruchomości wykonywana na zlecenie;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6910;6910;Działalność prawnicza;Działalność prawnicza;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
6920;6920;"Działalność rachunkowo-księgowa; doradztwo podatkowe";"Działalność rachunkowo-księgowa; doradztwo podatkowe";podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7010;7010;Działalność firm centralnych (head offices) i holdingów, z wyłączeniem holdingów finansowych;Działalność central (head offices);podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7021;7330;Stosunki międzyludzkie (public relations) i komunikacja;Działalność w zakresie public relations i komunikacji;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7022;7020;Pozostałe doradztwo w zakresie prowadzenia działalności gospodarczej i zarządzania;Doradztwo w zakresie prowadzenia działalności gospodarczej i pozostałe doradztwo w zakresie zarządzania;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7111;7111;Działalność w zakresie architektury;Działalność w zakresie architektury;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7112;7112;Działalność w zakresie inżynierii i związane z nią doradztwo techniczne;Działalność w zakresie inżynierii i związane z nią doradztwo techniczne;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7120;7120;Badania i analizy techniczne;Badania i analizy techniczne;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7211;7210;Badania naukowe i prace rozwojowe w dziedzinie biotechnologii;Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7219;7210;Badania naukowe i prace rozwojowe w dziedzinie pozostałych nauk przyrodniczych i technicznych;Badania naukowe i prace rozwojowe w dziedzinie nauk przyrodniczych i technicznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7220;7220;Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych;Badania naukowe i prace rozwojowe w dziedzinie nauk społecznych i humanistycznych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7311;7311;Działalność agencji reklamowych;Działalność agencji reklamowych;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7312;7312;Działalność związana z reprezentowaniem mediów;Reklama poprzez środki masowego przekazu;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7320;7320;Badanie rynku i opinii publicznej;Badanie rynku i opinii publicznej;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7410;7411;Działalność w zakresie specjalistycznego projektowania;Działalność w zakresie wzornictwa przemysłowego i projektowania mody;"projektowanie mody związane z tekstyliami, odzieżą, obuwiem, biżuterią, meblami i innymi elementami wystroju wnętrz oraz innymi towarami związanymi z modą, a także innymi towarami osobistymi lub domowymi; wzornictwo przemysłowe, wykonywane również za pomocą specjalistycznego oprogramowania, tj. tworzenia i opracowywania projektów i specyfikacji optymalizujących użycie, wartość, opakowanie i wygląd produktów, w tym określenie materiałów, mechanizmu, kształtu, koloru i wykończenia powierzchni produktu, biorąc pod uwagę ludzkie cechy i potrzeby, bezpieczeństwo, atrakcyjność rynkową w dystrybucji, użytkowaniu i konserwacji"
7410;7412;Działalność w zakresie specjalistycznego projektowania;Działalność w zakresie projektowania graficznego i komunikacji wizualnej;"działalność projektantów graficznych;  projektowanie graficzne stron internetowych; działalność projektantów komunikacji; działalność specjalistyczna w zakresie projektowania przekazu informacyjnego, uwzględniająca cechy i potrzeby ludzi, cele korporacyjne, atrakcyjności rynku i środków przekazu; projektowanie i doradztwo w zakresie treści i wyglądu zewnętrznego kampanii oraz treści komunikacyjnych, koncepcji i projektowania obrazów wizualnych (corporate design) i mediów komunikacji korporacyjnej, projektowania i aktualizacji marki, określania języka wizualnego, formy, koloru, typografii publikacji , ilustracja dydaktyczna złożonych i abstrakcyjnych kontekstów"
7410;7413;Działalność w zakresie specjalistycznego projektowania;Działalność w zakresie projektowania wnętrz;"działalność dekoratorów wnętrz; usługi projektowania wnętrz, na przykład planowanie i projektowanie przestrzeni wewnętrznych w celu zaspokojenia estetycznych i funkcjonalnych potrzeb ludzi, skupiając się głównie na wykończeniach, meblach i paletach kolorystycznych; sporządzanie projektów dekoracji wnętrz"
7410;7414;Działalność w zakresie specjalistycznego projektowania;Pozostała działalność w zakresie specjalistycznego projektowania;pozostała działalność w zakresie specjalistycznego projektowania
7420;1812;Działalność fotograficzna;Pozostałe drukowanie;działalności związane z drukowaniem zdjęć (z telefonów komórkowych, kart pamięci, USB i innych nośników elektronicznych)
7420;7420;Działalność fotograficzna;Działalność fotograficzna;produkcja fotografii komercyjnej i konsumenckiej: fotografia portretowa do paszportów, szkół, ślubów i tym podobne, fotografia komercyjna na potrzeby reklam, wydawnictw, mody, nieruchomości lub turystyki,  fotografia lotnicza i podwodna,
7430;7430;Działalność związana z tłumaczeniami;Działalność związana z tłumaczeniami;podklasa PKD 2007 w pełni odzwierciedla podklasę PKD 2025
7490;7491;Pozostała działalność profesjonalna, naukowa i techniczna, gdzie indziej niesklasyfikowana;Działalność rzeczników patentowych i działalność marketingowa;"działalność rzeczników patentowych i usługi marketingowe w zakresie patentów; usługi zarządzania prawami autorskimi i związanymi z nimi dochodami; usługi zarządzania prawami do własności przemysłowej (patenty, licencje, znaki towarowe, franszyza i tym podobne); działalność organizacji zbiorowego zarządzania prawami autorskimi; zarządzanie prawami własności intelektualnej, m.in. praw autorskich i ich przychodów; sprzedaż patentów i podobnych działań związanych z własnością intelektualną na własny rachunek"
